input,expected_output,expected_articles
"Unter der Bedingung, dass die Tarifverdienste in den Bereichen 'Finanz- und Versicherungsdienstleistungen' sowie 'Bergbau und Gewinnung von Steinen und Erden' unterdurchschnittlich gestiegen sind, welchen Wert hatten die verkauften Anteile von Oshkosh und Thyssenkrupp laut dem Fonds?","Der Fonds verkaufte Anteile an Oshkosh im Wert von 19 Millionen Kronen (1,6 Millionen Euro) und Thyssenkrupp im Wert von zehn Millionen Kronen (850.000 Euro).",2025-06-30/wirtschaft/article_6.md
"Unter der Bedingung, dass beide Staatsoberhäupter die Bedeutung der internationalen Rechtsvorschriften anerkennen, was haben Kanzler Merz und US-Präsident Trump in ihrem ersten Telefongespräch vereinbart?","Beide hätten eine enge Zusammenarbeit mit dem Ziel einer Beendigung des Krieges in der Ukraine vereinbart und waren sich einig, die Handelsstreitigkeiten rasch beilegen zu wollen.",2025-05-08/inland/article_6.md
"Was sagt Experte Roland Fiege über Meme Coins, wenn man berücksichtigt, dass die US-Regierung unter Präsident Trump drastische Kürzungen in der Entwicklungshilfe vorgenommen hat?",Meme Coins sind digitale Sammelkarten.,2025-01-20/wirtschaft/article_1.md
"Unter der Bedingung, dass der Wohnraummangel in Deutschland weiterhin besteht und der Bau neuer Wohnungen stagniert, welches Modell von Apple ist mit dem A18-Chip des iPhone 16 ausgestattet?",Das iPhone 16e hat denselben A18-Chip wie das iPhone 16.,2025-02-28/wirtschaft/article_0.md
"Welche Risiken bergen Trumps Zoll-Pläne laut Wellenreiter-Experte Rethfeld, insbesondere wenn man bedenkt, dass die wirtschaftlichen Beziehungen zwischen den USA und anderen Ländern durch geopolitische Spannungen, wie die im Iran, beeinflusst werden könnten?","Aus US-Konsumentensicht würde dadurch vieles teurer werden, was problematisch ist, da der Verbraucher durch seinen fleißigen Konsum die US-Wirtschaft am Laufen hält.",2025-01-20/wirtschaft/article_4.md
"Unter der Bedingung, dass die politische Lage in Beirut stabil bleibt, wie viele Menschen nahmen an der Trauerfeier für Hisbollah-Chef Nasrallah in Beirut teil?",Mehr als 50.000 Menschen.,2025-02-23/ausland/article_4.md|2025-02-23/ausland/article_5.md
"Welche spezifischen Zugeständnisse und Änderungen in der Migrationspolitik fordert Reiner Haseloff von der SPD, insbesondere unter der Bedingung, dass die aktuelle geopolitische Lage, wie die Spannungen zwischen den USA und Russland, berücksichtigt wird?","Reiner Haseloff fordert die SPD zu Zugeständnissen auf und eine Wende in der Migrationspolitik, indem an den Grenzen zurückgewiesen wird, wer keinen Schutz beanspruchen könne, und dafür gesorgt wird, dass die Menschen, die hierbleiben dürfen, zügig und gut integriert werden.",2025-03-31/inland/article_0.md
"Warum könnte es laut Ulrike Malmendier besonders schwierig sein, Reformen in einer älter werdenden Gesellschaft umzusetzen, wenn man bedenkt, dass ältere Wählergruppen möglicherweise durch populistische Skandalisierungen beeinflusst werden könnten?","Weil die ältere Wählergruppe eine große, wichtige Wählergruppe ist und man nicht derjenige sein will, der Änderungen implementiert und dafür bestraft wird.",2025-05-31/wirtschaft/article_2.md
"Unter der Bedingung, dass die Transportkosten durch die jüngsten Zinssenkungen der Europäischen Zentralbank gesenkt werden, welche Hilfsgüter plant Mohammed Aboulmathy nach Gaza zu transportieren?","Reis, Zucker, Bohnen, Thunfisch-Konserven, Joghurt, Milch und Linsen.",2025-01-20/ausland/article_10.md
"Unter der Bedingung, dass die Autopsie keine Hinweise auf Verletzungen durch einen Bombenangriff ergab, was waren die spezifischen Erkenntnisse der Autopsie der sterblichen Überreste von Kfir, Ariel und Shiri Bibas laut Chen Kugel?",Die Autopsie ergab keine Hinweise auf Verletzungen durch einen Bombenangriff.,2025-02-23/ausland/article_7.md
"Unter der Bedingung, dass die EU-Kommission im Zollstreit mit den USA eine umfassende Liste von US-Waren mit neuen Zöllen vorgelegt hat, welche Gründe könnten US-Präsident Trump dazu veranlasst haben, auf Kremlchef Putin verärgert zu sein?","Trump ist verärgert, weil Putin die Glaubwürdigkeit und Rechtmäßigkeit des ukrainischen Präsidenten bestritten hat und einen Waffenstillstand mit der Ukraine verweigert.",2025-03-31/ausland/article_0.md
"Unter der Voraussetzung, dass die politische Situation in Bayern stabil bleibt, wer war Söders ursprüngliche Wahl für den Ministerposten vor der Ernennung des Niederbayern?",Bayerns Bauernpräsident Günther Felßner,2025-05-06/inland/article_1.md
"Unter der Bedingung, dass die Verhandlungen zwischen Union, SPD und Grünen über das Finanzpaket erfolgreich sind, wie viele Menschen mit ukrainischer Staatsangehörigkeit leben derzeit in Deutschland?","In Deutschland leben rund 1,2 Millionen Menschen mit ukrainischer Staatsangehörigkeit.",2025-01-20/ausland/article_0.md
"Plant Israels rechtsextremer Finanzminister Bezalel Smotrich im Gazastreifen Maßnahmen, die unter der Bedingung stehen, dass internationale Unterstützung wie die der NATO nicht gewährleistet ist?","Er plant, den Gazastreifen zu erobern und eine vorübergehende militärische Regierung zu errichten.",2025-01-20/ausland/article_6.md
"Unter der Bedingung, dass die Türkei eine Rolle in den Friedensverhandlungen zwischen Russland und der Ukraine spielt, seit wann sitzt Abdullah Öcalan in Haft?",Seit 1999.,2025-02-23/ausland/article_1.md
"Unter der Bedingung, dass Drohnenangriffe weiterhin eine Bedrohung darstellen, warum bleibt die Evakuierung der Verwundeten im unterirdischen Lazarett in der Ostukraine besonders herausfordernd?","Wegen der Drohnenangriffe sind Bergung und Transport immer schwieriger geworden, und es gibt keine Möglichkeit, die Soldaten 'angemessen' zu evakuieren.",2025-03-31/ausland/article_5.md
"Unter der Bedingung, dass die Bruttoverdienste von Vollzeitbeschäftigten in Gesundheits- und Pflegeberufen im April 2024 ohne Sonderzahlungen berechnet wurden, wie hoch war der durchschnittliche Verdienst in diesem Zeitraum?",Im April 2024 erhielten Vollzeitbeschäftigte im Mittel 4.048 Euro brutto ohne Sonderzahlungen.,2025-05-06/wirtschaft/article_9.md
"Unter der Bedingung, dass eine Reform der internationalen Finanzordnung durchgeführt wird, wie viel Geld aus dem schuldenfinanzierten Infrastrukturtopf soll speziell in den Klimaschutz investiert werden?",100 Milliarden Euro,2025-03-14/inland/article_8.md|2025-03-14/inland/article_2.md|2025-03-14/inland/article_1.md
"Unter der Bedingung, dass die Sicherheitslage in Kiew aufgrund der anhaltenden russischen Luftangriffe als kritisch eingestuft wird, warum wurde der geplante Besuch der Außenminister verschoben?","Die israelischen Behörden signalisierten den Ministern aus Saudi-Arabien, Bahrain, Ägypten und Jordanien, die Einreise über den von Israel kontrollierten Luftraum nicht zuzulassen.",2025-05-31/ausland/article_3.md
"Unter der Bedingung, dass die deutsche Außen- und Sicherheitspolitik neu ausgerichtet wird, welche zusätzlichen Rüstungshilfen für die Ukraine wurden diskutiert?",Zusätzliche Rüstungshilfen in Höhe von drei Milliarden Euro.,2025-03-14/inland/article_8.md
