input,expected_output,expected_articles
"Unter der Voraussetzung, dass die CDU die Mehrheit der Stimmen im Bundestag erhält, wer wird dann voraussichtlich als neuer Kanzler Deutschlands gewählt und welche Schritte sind dabei zu beachten?",Merz soll zum Kanzler gewählt werden.,2025-05-06/inland/article_5.md
"Unter der Bedingung, dass das Weihnachtsquartal als erstes Quartal des Geschäftsjahres 2024/25 gilt, um wie viel Prozent hat sich der Gewinn von Visa in diesem Zeitraum erhöht?",Der Gewinn von Visa stieg um fünf Prozent.,2025-01-31/wirtschaft/article_7.md
"Unter welchen Bedingungen wurde Friedrich Merz als Kanzlerkandidat der Union erwähnt, und gibt es andere Personen, die in diesem Zusammenhang genannt wurden?",Friedrich Merz,2025-01-31/inland/article_7.md
"Unter der Bedingung, dass die Zahl der neuen Milliardäre im letzten Jahr weltweit laut Oxfam bekannt gegeben wurde, wie viele neue Milliardäre wurden im Vergleich zu den Vorjahren hinzugefügt?",204 neue Milliardäre,2025-01-20/wirtschaft/article_0.md
"Welches neu geschaffene Ministerium, das sich mit Digitalisierung und Staatsmodernisierung befasst, wird von Karsten Wildberger, einem ehemaligen Topmanager und Unternehmensberater, geleitet?",Karsten Wildberger übernimmt das neue Digitalministerium.,2025-05-06/inland/article_1.md
"Unter der Bedingung, dass die Erhöhung des Mindestlohns auf 15 Euro bis spätestens 2026 erfolgt, welche politische Partei setzt sich dafür ein?",Die SPD fordert eine Anhebung auf 15 Euro spätestens ab 2026.,2025-02-28/inland/article_6.md
"Unter der Bedingung, dass die Zollpolitik als ein Risiko für die Wirtschaft betrachtet wird, wie würde Paul Winfree die Erfolgsbilanz von Donald Trump auf einer Punkteskala von null bis zehn bewerten?","Auf einer Punkteskala von null bis zehn würde Winfree Trump bei sieben bis acht, also als ziemlich erfolgreich einordnen.",2025-04-30/ausland/article_0.md
"Unter welchen spezifischen Umständen und in welchen Gebieten behauptet das pakistanische Militär, dass es Drohnen aus Indien abgeschossen hat?","Das pakistanische Militär teilte mit, dass zahlreiche Drohnen aus Indien abgeschossen worden seien.",2025-05-08/ausland/article_17.md
"Welche Maßnahmen plant der Bundespräsident konkret, nachdem Weinberg und Toscano angekündigt haben, ihre Verdienstorden zurückzugeben, und wie wird er auf die Bedenken des Internationalen Auschwitz-Komitees reagieren?",Der Bundespräsident wird beide zu einem Gespräch einladen.,2025-01-31/inland/article_5.md
"Unter der Bedingung, dass die Grenze geöffnet ist, in welches spezifische Grenzgebiet dürfen Touristen in Nordkorea reisen, und welche logistischen Herausforderungen könnten dabei auftreten?","Touristen dürfen nur in das Grenzgebiet Rason im Dreiländereck zwischen Nordkorea, Russland und China reisen.",2025-01-28/ausland/article_10.md
"Welche konkreten Maßnahmen plant Israels rechtsextremer Finanzminister Bezalel Smotrich im Gazastreifen, unter Berücksichtigung seiner Aussagen im Armeeradio, und wie lange sollen diese Maßnahmen andauern?","Bezalel Smotrich plant, den Gazastreifen zu erobern und eine vorübergehende militärische Regierung zu errichten.",2025-01-20/ausland/article_6.md
"Unter welchen spezifischen Umständen könnten die Verhandlungen zwischen CDU und SPD besonders kompliziert werden, insbesondere in Bezug auf Migration, Schuldenbremse und Ukraine-Politik?","Migration, Schuldenbremse und Ukraine-Politik.",2025-02-28/inland/article_3.md
