input,expected_output,expected_articles
Warum ist das so?,"Zahlreiche SPD-Abgeordnete haben massive Probleme bei der Vorstellung, schon bald Friedrich Merz zum Kanzler zu wählen, weil sie ihm nicht trauen und es hängt zusammen mit den viel kritisierten Abstimmungen im Bundestag, bei denen die Stimmen der AfD in Kauf genommen wurden.",2025-02-28/inland/article_8.md
Was war das?,"Die Hamas hat angekündigt, sie werde kommende Woche vier weitere Leichen übergeben, womit die erste Phase des Abkommens endgültig abgeschlossen wird.",2025-02-23/ausland/article_2.md
Wer wird das machen?,Der Trump-Bewunderer Christopher Macchio wird die Nationalhymne singen.,2025-01-20/ausland/article_12.md
Welche sieht er?,"Der Auftragseingang in Westeuropa sei deutlich gestiegen, und die Auftragsbücher füllten sich schnell. Der Absatz von E-Autos habe sich in Westeuropa deutlich erhöht.",2025-04-30/wirtschaft/article_11.md
Warum tat er das?,"Weil im Keller kein Empfang für das Telefon war und er auf den Anruf wartete, dass sein Vater im Krankenhaus gestorben war.",2025-01-31/ausland/article_4.md
Welche waren das?,"Vor allem Papiere aus der Rüstungsindustrie, der Baubranche und dem Energiesektor waren vor dem Wochenende stark gefragt.",2025-03-14/wirtschaft/article_4.md
Was führte dazu?,Trumps aggressive Kanada-Politik führte in den vergangenen Monaten zu einem spektakulären Meinungsumschwung zugunsten der Liberalen.,2025-04-30/ausland/article_12.md
Was ist dafür notwendig?,Die asthmatische Atemkrise erfordert die Gabe von Sauerstoff.,2025-02-23/ausland/article_11.md
Warum ist das so?,"Grund für Trumps Ärger war eine von Putin wiederholte Behauptung, wonach der ukrainische Präsident Wolodymyr Selenskyj nicht länger legitimes Staatsoberhaupt seines Landes sei, weil seine Amtszeit im vergangenen Jahr abgelaufen ist.",2025-03-31/ausland/article_4.md
Wie viele sind es?,Jedes Jahr koste der Tabakkonsum bundesweit mindestens 127.000 Menschen das Leben.,2025-05-31/inland/article_3.md
Was wird versprochen?,"Mit dem Gebäudetyp E wird das Planen und Bauen einfacher, günstiger und schneller.",2025-03-31/wirtschaft/article_4.md
Welche war es?,"Indigo, die größte heimische Fluggesellschaft des Landes, sagte am Mittwoch 165 Flüge ab.",2025-05-08/ausland/article_17.md
Was wissen nur ein Drittel davon?,"Nur ein Drittel der 18- bis 24-Jährigen weiß laut einer Umfrage der gemeinnützigen Organisation 'More in Common', dass am 8. Mai die Deutschen kapitulierten.",2025-05-08/ausland/article_2.md
Wie hoch sind diese?,Rund 21 Milliarden Euro pro Jahr.,2025-04-30/inland/article_6.md
Wie viele sind betroffen?,In Bangkoks Hauptstadt werden knapp 80 Vermisste unter einem eingestürzten 30-stöckigen Rohbau gesucht.,2025-03-31/ausland/article_13.md
Was hat er versprochen?,"Trump hatte versprochen, die Regulierungen für Kryptowährungen zu lockern und hat sich für eine nationale Bitcoin-Reserve der USA ausgesprochen.",2025-01-20/wirtschaft/article_3.md
Um wie viel Prozent ist das geschehen?,"Die US-Wirtschaft ist im ersten Quartal des Jahres um 0,3 Prozent geschrumpft.",2025-04-30/wirtschaft/article_6.md
Wie viele waren es?,2.241 Menschen,2025-03-31/inland/article_2.md
Welche drei Punkte sah das vor?,"Die Begrenzung der Migration sollte wieder explizit im Aufenthaltsgesetz verankert werden, der Familiennachzug für subsidiär Schutzbedürftige wegfallen, und die Bundespolizei die Befugnis erhalten, selbst Haft oder Gewahrsam für Ausreisepflichtige zu beantragen.",2025-01-31/inland/article_8.md
Wen begnadigte er?,"Der Demokrat begnadigte James B. Biden, seinen jüngeren Bruder und dessen Ehefrau, seine jüngere Schwester Valerie Biden Owens und deren Ehemann sowie seinen jüngsten Bruder Francis W. Biden.",2025-01-20/ausland/article_1.md
