input,expected_output,expected_articles
Wer ist der aktuelle Bundeskanzler?,Der aktuelle Bundeskanzler ist Friedrich Merz.,2025-05-06/inland/article_1.md|2025-05-06/inland/article_15.md|2025-05-06/inland/article_14.md
Wer ist der aktuelle US Präsident?,Donald Trump ist der aktuelle Präsident der USA.,2025-01-20/ausland/article_12.md|tagesschau_dump/2025-01-20/ausland/article_7.md
Welche Parteien sind in der aktuellen Regierung im Bundestag?,Die aktuelle Regierung im deutschen Bundestag bildet die große Koalition bestehend aus CDU/CSU und SPD.,2025-02-28/inland/article_6.md|2025-02-28/inland/article_2.md
Wie viele Wahlgänge gab es bei der Wahl des Kanzlers 2025?,Friedrich Merz wurde im zweiten Wahlgang zum Kanzler gewählt.,2025-05-06/inland/article_0.md|2025-05-06/inland/article_8.md|2025-05-06/inland/article_3.md
Ist das BSW im Bundestag vertreten?,"Nein, das BSW ist an der 5%-Hürde gescheitert.",2025-03-14/inland/article_14.md
Wie heißt der aktuelle Papst?,"Der aktuelle Papst ist Leo XIV., mit bürgerlichem Namen Robert Francis Prevost. Er wurde am 8. Mai 2025 zum neuen Papst gewählt.",2025-05-08/ausland/article_1.md|2025-05-08/ausland/article_10.md|2025-05-08/ausland/article_8.md
Wofür wurde Marine Le Pen verurteilt?,"Ein Gericht in Paris sprach Marine Le Pen schuldig, EU-Gelder veruntreut zu haben.",2025-03-31/ausland/article_12.md|2025-03-31/ausland/article_16.md|2025-03-31/ausland/article_17.md
In welchen Land gab es dieses Jahr ein Erdbeben?,"In diesem Jahr gab es Erdbeben in mehreren Ländern. Dazu gehören die Türkei, Neuseeland, Thailand und Myanmar. ",2025-03-31/ausland/article_1.md|2025-03-31/ausland/article_13.md|2025-03-31/ausland/article_18.md
Welche Partei hatte die meisten Stimmen bei der Unterhauswahl 2025 in Kanada?,"Die Liberale Partei hat mit 43,8% die meisten Stimmen erhalten.",2025-04-30/ausland/article_12.md
Was ist deepseek r1?,"DeepSeek R1 ist ein Open-Source Sprachmodell, das vom chinesischen KI-Unternehmen DeepSeek entwickelt wurde.",2025-01-28/wirtschaft/article_0.md|2025-01-28/wirtschaft/article_10.md|2025-01-31/wirtschaft/article_7.md
Gab es im Januar 2025 einen Streik bei der deutschen Bahn?,"Ja, es gab einen flächendeckenden Streik im Personenverkehr von Mittwoch, 24. Januar, 2 Uhr bis Montag, 29. Januar, 18 Uhr. ",2025-01-28/wirtschaft/article_1.md|2025-03-31/ausland/article_10.md|2025-05-06/inland/article_1.md
Wer richtet einen Spenden-Empfang für Milliardäre aus?,Meta-Chef Zuckerberg richtet einen Spenden-Empfang für Milliardäre aus.,2025-01-20/ausland/article_12.md
Was plant Trump an der Grenze zu Mexiko zu tun?,"Er plant, den nationalen Notstand auszurufen und alle illegalen Grenzübertritte zu stoppen, indem er weitere Streitkräfte in die Region entsendet und die 'Bleibt-in-Mexiko'-Politik wieder einführt.",2025-01-20/ausland/article_7.md
Was wird über Tulsi Gabbards Nominierung zur Oberaufsicht über die Geheimdienste gesagt?,"Viele erfahrene Sicherheitspolitiker halten es für ein 'Sicherheitsrisiko', dass Tulsi Gabbard ohne Vorerfahrung die Oberaufsicht über die 18 Geheimdienste übernehmen soll.",2025-01-20/ausland/article_8.md
Wann plant Elon Musks Online-Plattform X den Start ihres Überweisungsdienstes?,Bis Ende dieses Jahres.,2025-01-28/wirtschaft/article_3.md
Was hat Elon Musk über den Krankenstand der Belegschaft in Grünheide gesagt?,Tesla-Gründer Elon Musk hatte bereits vor Monaten den hohen Krankenstand der Belegschaft in Grünheide kritisiert.,2025-03-14/wirtschaft/article_6.md
Warum steht die Zustimmung des Senats zum Haushaltsentwurf noch aus?,"Die Zustimmung des Senats steht noch aus, weil die Demokraten im Senat uneins sind und mindestens 60 Senatorinnen und Senatoren zustimmen müssen, um den Haushaltsentwurf zur Abstimmung zu bringen, wofür ein paar Stimmen von Demokraten nötig sind.",2025-03-14/ausland/article_10.md
Wer hat Trump und seine Frau Melania im Weißen Haus zum Tee empfangen?,Sein demokratischer Amtsvorgänger Biden und dessen Ehefrau Jill.,2025-01-20/ausland/article_7.md
Welches Unternehmen warnt vor negativen Folgen durch Trump-Zölle?,Der Elektroauto-Hersteller Tesla warnt vor negativen Folgen durch Trump-Zölle.,2025-03-14/wirtschaft/article_4.md
Welche Auswirkungen befürchtet die Handelsgruppe 'Autos Drive America' durch die Einführung von Zöllen?,"Die Handelsgruppe 'Autos Drive America' befürchtet, dass die Einführung von Zöllen zu höheren Verbraucherpreisen, weniger angebotenen Modellen und der Schließung von US-Produktionslinien führen könnte.",2025-03-14/wirtschaft/article_10.md
