input,expected_output,expected_articles
"Hallo, ich plane eine Reise nach Deutschland und habe kürzlich von einigen wirtschaftlichen Veränderungen dort gehört. Können Sie mir sagen, welches Unternehmen im vergangenen Jahr von niedrigeren Zinsen profitiert hat?",Hypoport,2025-01-20/wirtschaft/article_3.md
"Hallo, ich habe gehört, dass es in Goma Bedenken wegen eines möglichen Austritts von Virenproben gibt. Welche Organisation hat davor gewarnt, und gibt es auch deutsche Vertreter, die sich zur humanitären Krise in Ruanda äußern?",Das Internationale Komitee vom Roten Kreuz (IKRK) warnte vor einem Austritt von Virenproben in Goma.,2025-01-28/ausland/article_4.md
"Hallo, ich habe gerade einen Artikel über mögliche politische Allianzen der AfD gelesen. Welche Partei hat rechtliche Bedenken gegen das 'Zustrombegrenzungsgesetz'?",Gegen das Gesetz hat Kanzler Olaf Scholz (SPD) rechtliche Bedenken.,2025-01-31/inland/article_6.md
"Hallo, da Friedrich Merz jetzt Bundeskanzler ist, frage ich mich, was er über die Möglichkeit gesagt hat, dass AfD-Abgeordnete den Vorsitz in Ausschüssen übernehmen könnten?","Friedrich Merz sagte, dass er es sich nicht vorstellen könne, dass AfD-Bundestagsabgeordnete den Vorsitz von Bundestagsausschüssen übernehmen.",2025-05-06/inland/article_6.md
"Guten Morgen! Da ich in Deutschland lebe, interessiert es mich, welche Länder Dänemarks Regierungschefin Frederiksen auf ihrer Europa-Tour besucht, besonders im Hinblick auf Deutschlands Einfluss auf Dänemarks diplomatische Bemühungen bezüglich Grönland.","Frederiksen besucht Berlin, Paris und Brüssel.",2025-01-28/ausland/article_6.md
"Hallo, ich habe gerade gelesen, dass Apples Pläne für KI-getriebene Suchfunktionen die Google-Aktie beeinflusst haben. Welche Pläne von Apple haben die Google-Aktie ins Minus getrieben?",Pläne von Apple für KI-getriebene Suchfunktionen bei seinem Webbrowser Safari haben die Aktie von Google gestern deutlich ins Minus getrieben.,2025-05-08/wirtschaft/article_4.md
"Hallo, als neugieriger junger Journalist möchte ich wissen: Was fordern die Grünen im Zusammenhang mit der AfD, um die Leser über die möglichen Auswirkungen politischer Entscheidungen zu informieren?",Die Grünen fordern rasche konkrete Schritte wie die Einberufung der Sonder-Innenministerkonferenz.,2025-06-30/inland/article_5.md
"Hallo, als junger Journalist aus Berlin, der sich intensiv mit Psychologie beschäftigt, frage ich mich, welche Rolle laut dem Psychologen Dominic Hennig die Psychologie bei der Gestaltung von Wahlplakaten spielt?","Psychologie spielt eine große Rolle bei der Wählermobilisierung, Bekanntmachung und Wiedererkennung von Personen durch Wahlplakate.",2025-01-28/inland/article_3.md
"Hallo, können Sie mir sagen, was die Ukraine in Bezug auf eine Waffenruhe fordert, insbesondere im Vergleich zu Russlands Vorschlägen für einen Waffenstillstand?","Die Ukraine fordert, dass es zuerst eine 30-tägige Waffenruhe geben solle, um dann an der Lösung des Konflikts zu arbeiten.",2025-05-31/ausland/article_10.md
"Hallo, ich studiere Politikwissenschaft und interessiere mich dafür, wie die Grünen im Osten Deutschlands besser ankommen könnten. Was sagt Taher Saleh über die Themen im Osten im Vergleich zum Rest der Republik?","Die Themen sind im Osten anders als im Rest der Republik, sei es das Thema Frieden, sei es das Thema Migration, Wirtschaft.",2025-06-30/inland/article_2.md
"Hallo, ich recherchiere gerade für mein Studium der internationalen Beziehungen über die Geopolitik im Nahen Osten. Könntest du mir sagen, was der israelische Premierminister Benjamin Netanjahu über die Stationierung israelischer Soldaten im Gazastreifen angekündigt hat?",Israelische Soldaten sollen künftig in eroberten Gebieten des Gazastreifens stationiert bleiben.,2025-05-06/ausland/article_0.md
"Hallo, ich bin ein Wirtschaftsstudent und versuche zu verstehen, wie neue Zölle mein Anlageportfolio beeinflussen könnten. Könnten Sie mir sagen, wie viel Prozent der DAX im ersten Quartal zugelegt hat?","Der DAX legte im ersten Quartal 11,3 Prozent zu.",2025-03-31/wirtschaft/article_3.md
"Hallo, ich bin ein Deutschstudent in Berlin und habe gerade über EU-Sanktionen gelesen. Können Sie mir erklären, warum die EU-Sanktionen gegen Russland verhängt wurden, und ob das Auswirkungen auf meine Reisepläne nach Ungarn haben könnte?",Die EU-Sanktionen wurden als Reaktion auf die aus EU-Sicht ungerechtfertigte und grundlose militärische Aggression Russlands gegen die Ukraine verhängt.,2025-03-14/ausland/article_6.md
"Hallo, ich habe gerade in einem Berliner Café über die Koalitionsverhandlungen gelesen. Weißt du, wer die Parteivorsitzenden sind, die für die SPD an den Sondierungsgesprächen teilnehmen?",Die Parteivorsitzenden Lars Klingbeil und Saskia Esken.,2025-02-28/inland/article_6.md
"Hallo, ich arbeite an einem Artikel über die Gewerkschaftsführer in Deutschland und muss schnell einige Fakten überprüfen. Können Sie mir sagen, wann Frank Bsirske stellvertretender ver.di-Bundesvorsitzender wurde?",2001,2025-06-30/wirtschaft/article_3.md
"Hallo, ich habe gerade auf meinem Smartphone nachgeschaut und gesehen, dass der DAX gestiegen ist. Weißt du, um wie viel Prozent der DAX im Januar gestiegen ist? Ich möchte das für unser nächstes Investment-Club-Treffen wissen.","Der DAX ist im Januar um 9,15 Prozent gestiegen.",2025-01-31/wirtschaft/article_7.md
