input,expected_output,expected_articles
Wie viele Briten sehen laut der Umfrage von YouGov den Brexit als Erfolg?,Nur elf Prozent der Briten sehen den Brexit eher als Erfolg.,2025-01-31/ausland/article_7.md
Wie hoch ist die Kaltmiete für eine der sanierten Wohnungen von Michael Reiserer in Wasserburg?,Die Kaltmiete für eine Wohnung liegt bei 680 Euro.,2025-03-31/wirtschaft/article_4.md
Warum wurde im Innenausschuss des Bundestags nicht über die Todesfahrt von Mannheim beraten?,Das Thema wurde von der Tagesordnung der für diesen Freitag anberaumten Sitzung gestrichen.,2025-03-14/inland/article_9.md
Wo wurde Duterte medizinisch untersucht und für prozessfähig erklärt?,Duterte wurde in den Niederlanden medizinisch untersucht und für prozessfähig erklärt.,2025-03-14/ausland/article_9.md
"Wo fanden die Morde am 29. Juli 2024 statt, die Großbritannien schockierten?",In der nordwestenglischen Stadt Southport.,2025-01-20/ausland/article_15.md
Wie viel haben private Haushalte in Deutschland im zweiten Halbjahr 2024 durchschnittlich pro Kilowattstunde Erdgas gezahlt?,"Im zweiten Halbjahr 2024 haben private Haushalte in Deutschland im Durchschnitt 12,28 Cent je Kilowattstunde Erdgas gezahlt.",2025-03-31/wirtschaft/article_2.md
Welche kriminellen Verbindungen haben einige der Richterkandidaten laut Defensorxs?,"Defensorxs hat 19 Kandidaten ausfindig gemacht, die sie für 'sehr riskant' halten, weil sie Verbindungen zum organisierten Verbrechen oder zu der kriminellen Sekte 'Das Licht der Welt' hätten.",2025-05-31/ausland/article_8.md
Warum hat der AfD-Abgeordnete Knodel die Partei verlassen?,"Knodel verließ die Partei aufgrund der Einstufung der AfD als 'gesichert rechtsextremistisch' durch den Bundesverfassungsschutz, um sein privates und geschäftliches Umfeld zu schützen.",2025-05-06/inland/article_6.md
Wie hoch war die Zustimmung der SPD-Basis zum Koalitionsvertrag mit der Union?,84 Prozent,2025-04-30/inland/article_2.md
Was beklagen Kunden beim Umstieg auf die neuen Cloud-Lösungen von SAP?,"Kunden beklagen, dass sie von SAP beim Umstieg auf die neuen Cloud-Lösungen mehr oder weniger die Pistole auf die Brust gesetzt bekommen, da für alte Betriebssoftware der Support nach und nach eingestellt wird.",2025-01-28/wirtschaft/article_2.md
In welchen drei EU-Ländern befinden sich die meisten Ladesäulen für Elektroautos?,"In den Niederlanden, Deutschland und Frankreich.",2025-05-08/wirtschaft/article_5.md
Wie viele Abgeordnete stimmten gegen den Gesetzentwurf der Union zur Begrenzung der Migration?,349 Abgeordnete stimmten gegen den Entwurf.,2025-01-31/inland/article_7.md
Warum hat der norwegische Pensionsfonds KLP seine Anteile an Thyssenkrupp verkauft?,"Grund sind die Geschäftsbeziehungen von Thyssenkrupp mit Israel, insbesondere die Lieferungen von Kriegsschiffen und U-Booten an die israelische Marine.",2025-06-30/wirtschaft/article_6.md
Welche Themen wurden im Wahlkampf nur kurz behandelt?,"Klima, Rente, bezahlbarer Wohnraum, Inflation, Familienpolitik, Ideen für eine bessere Bahn und mehr ÖPNV, inklusive Deutschlandticket.",2025-02-23/inland/article_13.md
Welche Maßnahmen hat das US-Generalkonsulat im pakistanischen Lahore ergriffen?,"Das US-Generalkonsulat im pakistanischen Lahore wies seine Mitarbeiter an, sich in Sicherheit zu bringen.",2025-05-08/ausland/article_17.md
Wie bewerten die Ermittler den Anschlag auf das israelische Generalkonsulat in München?,"Die Ermittler werten den Anschlag als antiisraelischen Terroranschlag, der in erster Linie israelfeindlich motiviert war.",2025-03-14/inland/article_12.md
Wofür wurde der iranische Rapper Amir Tatalu verurteilt?,Der Rapper Amir Tatalu wurde im Iran wegen Blasphemie zu einer fünfjährigen Haftstrafe verurteilt.,2025-01-20/ausland/article_9.md
"Wie versuchen die Behörden, Touristen nach dem Erdbeben zu beruhigen?","Die Behörden versuchen, den Touristen und erwarteten Urlaubern ein Gefühl von Sicherheit zu vermitteln, indem sie mitteilen, dass der Betrieb in Hotels wie gewohnt weiterläuft, Veranstaltungen stattfinden und an Sehenswürdigkeiten keine Schäden festgestellt wurden.",2025-03-31/ausland/article_1.md
"Wie plant Meta, Werbung auf WhatsApp zu integrieren, ohne die persönlichen Chats zu stören?","Meta plant, Werbung auf der Seite 'Aktuelles' zu integrieren, die neben Statusupdates von Kontakten auch abonnierte Kanäle von Unternehmen anzeigt, ohne die persönlichen Chats zu stören, da diese Ende-zu-Ende verschlüsselt bleiben.",2025-06-30/wirtschaft/article_2.md
Wer wird beim 39. Deutschen Evangelischen Kirchentag in Hannover ein Grußwort sprechen?,Bundespräsident Frank-Walter Steinmeier,2025-04-30/inland/article_4.md
Warum wurde der Gesetzentwurf zur Migrationspolitik abgelehnt?,"Eine Mehrheit kommt auch deshalb nicht zustande, weil zu viele Abgeordnete von Union und FDP nicht abgestimmt haben.",2025-01-31/inland/article_3.md
Was sollte man bei der Erstellung eines Entnahmeplans für die private Rente beachten?,"Man sollte sich rechtzeitig Gedanken über die Rentenhöhe und die Sicherheit machen, die man sich selbst bauen kann. Eine Bestandsaufnahme der erwarteten Einnahmen und Ausgaben im Ruhestand ist wichtig, um die Rentenlücke zu schließen.",2025-03-14/wirtschaft/article_3.md
Warum ist Alexander Schweitzer über die CDU irritiert?,"Alexander Schweitzer ist irritiert, weil die CDU die Einigung zur Stromsteuer hinterfragt, die ein gemeinsamer Beschluss der Koalition ist, abgestimmt zwischen Kanzleramt, Bundeswirtschaftsministerin und Bundesfinanzminister.",2025-06-30/inland/article_6.md
