input,expected_output,expected_articles
Warum dürfen Geschenke an die Royals nicht verkauft oder getauscht werden und warum gab es Kritik an der US-Regierung wegen der neuen Air Force One?,"Geschenke an die Royals dürfen nicht verkauft oder getauscht werden, da sie nicht als privates Eigentum betrachtet werden und Teil der königlichen Sammlung werden; es gab Kritik an der US-Regierung wegen der neuen Air Force One, weil sie ein teures Geschenk einer Boeing 747-8 aus Katar akzeptierte, was rechtliche und ethische Fragen aufwarf.",2025-05-31/ausland/article_15.md
"Warum sucht Dänemark europäische Unterstützung in Bezug auf Grönland und welche Maßnahmen plant es, um seine Präsenz in der Arktis zu stärken?","Dänemark sucht europäische Unterstützung, um sich für den Fall abzusichern, dass Trump seine Drohungen wahr macht und Dänemark gegenüber Macht anwendet in Bezug auf Grönland. Zudem plant Dänemark, knapp zwei Milliarden Euro in drei neue Schiffe, Langstreckendrohnen zur Überwachung der Region und verstärkte Satellitenkapazitäten zu investieren, um seine Präsenz in der Arktis zu stärken.",2025-01-28/ausland/article_6.md
Was möchte die SPD bezüglich des Rentenniveaus erreichen und welche Maßnahme schlägt die Union zur Wirtschaftsförderung vor?,"Die SPD möchte das Durchschnittsniveau der Rente von 48 Prozent vom letzten Bruttolohn auf Dauer festschreiben, während die Union auf einen umfassenden Bürokratieabbau dringt, durch den viele Betriebe bares Geld sparen könnten.",2025-03-31/inland/article_6.md
Welche Sonderkosten haben das operative Ergebnis des Unternehmens beeinflusst und welche positiven Entwicklungen sieht Finanzchef Arno Antlitz für das Unternehmen?,"Sonderprobleme wie CO2-Rückstellungen in Europa, der Umbau bei der Softwaretochter Cariad sowie Rücklagen für den Dieselskandal sorgten für Sonderkosten in Höhe von rund 1,1 Milliarden Euro, während Arno Antlitz positive Entwicklungen im steigenden Auftragseingang in Westeuropa und im erhöhten Absatz von E-Autos in dieser Region sieht.",2025-04-30/wirtschaft/article_11.md
Wie haben einige Unternehmen auf die Herausforderungen von DEI-Programmen reagiert und welche langfristigen Folgen könnten sich aus Trumps Politik in Bezug auf Vielfalt und Inklusion ergeben?,"Einige Unternehmen wie Meta oder Google distanzierten sich von ihren DEI-Leitlinien, während andere versuchen, die positiven Effekte zu erhalten, indem sie ihr Vokabular angepasst haben oder, wie die Supermarktkette Target, aus DEI-Programmen aussteigen. Trumps Politik könnte langfristig negative Konsequenzen haben, da die Bevölkerung immer diverser wird, aber gleichzeitig ein Rückzug in der Erziehung von jungen Leuten, Arbeitern und Institutionen zu beobachten ist, was zu einer verlorenen Generation führen könnte.",2025-05-31/wirtschaft/article_0.md
Welche US-Bundesstaaten bieten großzügige Steuervorteile für Filmproduktionen und wie viel hat Kaliforniens Gouverneur Newsom an Steuervorteilen für die Filmindustrie ins Budget eingeplant?,"In Georgia, New Mexiko und New York City gibt es großzügige Steuervorteile für Filmproduktionen, und Kaliforniens Gouverneur Newsom hat bis zu 750 Millionen Dollar an Steuervorteilen für die Filmindustrie ins Budget eingeplant.",2025-05-06/wirtschaft/article_0.md
Was ist beim israelisch-palästinensischen Gedenken in Tel Aviv passiert und wie reagierte der israelische Oppositionspolitiker Jair Golan auf die Vorfälle?,"Ultrarechte Aktivisten haben Teilnehmer einer israelisch-palästinensischen Gedenkfeier angegriffen, was zu Panik führte, und Jair Golan zeigte sich empört und sprach von organisierter Gewalt gegen Friedensstifter am Gedenktag.",2025-04-30/ausland/article_11.md
Was erwartet Donald Tusk von anderen Ländern in Bezug auf Polens Verteidigung und Schutz der Ostgrenze und welche innenpolitischen Herausforderungen hat er in Polen?,"Donald Tusk erwartet nicht nur Verständnis, sondern auch volle Unterstützung bei den Aufgaben der Verteidigung und des Schutzes der Ostgrenze, und er muss sich gegenüber der rechtspopulistischen PiS-Partei behaupten, da in Polen Präsidentschaftswahlen anstehen.",2025-05-08/ausland/article_18.md
Was plant die EU im Hinblick auf ein Freihandelsabkommen mit Indien und welche zusätzlichen Partnerschaftsmöglichkeiten prüft sie?,"Die EU plant ein Freihandelsabkommen mit Indien, das noch in diesem Jahr abgeschlossen werden soll, und prüft Möglichkeiten einer engeren Zusammenarbeit im Sicherheits- und Verteidigungsbereich mit Indien.",2025-02-28/ausland/article_1.md|2025-02-28/ausland/article_9.md
Wie hoch war die Inflationsrate in Deutschland im April 2025 und welche Produkte haben sich besonders verteuert?,"Die Inflationsrate in Deutschland sank im April 2025 auf 2,1 Prozent, und insbesondere haben sich Erdbeeren, Himbeeren, Stachelbeeren und ähnliches Obst um 27,2 Prozent sowie Tomaten um 31,6 Prozent und Paprika um 26,3 Prozent verteuert.",2025-04-30/wirtschaft/article_9.md
Welche Länder gehören zur Internationalen Kontaktgruppe für die Afrikanischen Großen Seen und welche Gefahren bestehen im Virenlabor in Goma laut dem IKRK?,"Zur Internationalen Kontaktgruppe für die Afrikanischen Großen Seen gehören Vertreter aus Deutschland, Dänemark, Belgien, der Europäischen Union, Frankreich, den Niederlanden, Schweden, der Schweiz, den USA und Großbritannien, und laut dem IKRK besteht im Labor des Nationalen Instituts für biomedizinische Forschung in Goma die Gefahr eines Stromausfalls, was zu einem Austritt von Virenproben, darunter solche des Ebola-Virus, führen könnte.",2025-01-28/ausland/article_4.md
Wie äußerte sich Heidi Reichinnek zum Abschneiden der Linken und was kündigte Christian Lindner nach dem Absturz der FDP an?,"Heidi Reichinnek freute sich über das Abschneiden ihrer Partei und sagte, es sei richtig gewesen, sich auf das Thema Soziales zu konzentrieren, während Christian Lindner seinen Rückzug aus der Politik ankündigte.",2025-02-23/inland/article_5.md
Welche Position hat der designierte Landwirtschaftsminister Alois Rainer zu einer Abgabe auf Fleisch und was ist seine Ansicht zu den Speiseplänen in Kindergärten und Schulen?,"Der designierte Landwirtschaftsminister Alois Rainer lehnt die vom geschäftsführenden Minister Cem Özdemir vorgeschlagene Abgabe auf Fleisch ab und betont die Wichtigkeit einer ausgewogenen Ernährung in Kindergärten und Schulen, bei der Obst, Gemüse, Fleisch und vegetarische Gerichte auf den Speiseplänen stehen sollten.",2025-04-30/inland/article_6.md
Was ist das Hauptthema des Antrittsbesuchs von Friedrich Merz in Polen und wie steht Premierminister Tusk zur Migrationspolitik des neuen Kanzlers?,"Das Hauptthema des Antrittsbesuchs ist die Stärkung der deutsch-polnischen Beziehungen und die Zusammenarbeit in Bereichen wie Infrastruktur und Rüstungspolitik, während Premierminister Tusk mit der Migrationspolitik des neuen Kanzlers Friedrich Merz nicht einverstanden ist.",2025-05-08/ausland/article_18.md
